Event Name,Location,Address,Organizer Name,Event Date,Event Time,Event Type
JavaScript Summit,Bangalore,12 MG Road,Rahul Verma,2025-01-12,10:00,Conference
AI for Healthcare,Delhi,45 AI Blvd,Meena Rao,2025-01-20,14:00,Studying
DevOps Meetup,Hyderabad,78 Tech Park,Naveen Reddy,2025-01-25,16:30,Meeting
Women in Tech,Chennai,90 Marina Rd,Latha Srinivasan,2025-02-01,11:00,Conference
Startup Funding Basics,Mumbai,34 Startup Ln,Anil Kapoor,2025-02-08,15:00,Working
VueJS Workshop,Kolkata,67 Code St,Swati Das,2025-02-12,09:00,Studying
Hack the Future,Pune,88 Hackers Way,Arjun Mehta,2025-02-17,13:30,Working
Digital Nomads Meetup,Bali,101 Freedom Rd,Ketut Wayan,2025-02-19,18:00,Meeting
Cloud Security Talk,Singapore,202 Skyline Ave,Linda Tan,2025-02-22,12:00,Conference
UI/UX Design Roundtable,Hong Kong,303 Harbor St,Jason Wong,2025-02-23,10:30,Dining
